Skin Type,Product,Company_x,Star_x,Age,category,Ingredient,Good,Bad
지성,1025 독도 토너 200ml,라운드랩,4.45,20대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
지성,1025 독도 토너 200ml,라운드랩,4.45,30대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
지성,1025 독도 토너 200ml,라운드랩,4.45,40대 이상,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
중성,1025 독도 토너 200ml,라운드랩,4.47,10대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
중성,1025 독도 토너 200ml,라운드랩,4.47,20대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
중성,1025 독도 토너 200ml,라운드랩,4.47,30대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
중성,1025 독도 토너 200ml,라운드랩,4.47,40대 이상,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
복합성,1025 독도 토너 200ml,라운드랩,4.41,10대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
복합성,1025 독도 토너 200ml,라운드랩,4.41,20대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
복합성,1025 독도 토너 200ml,라운드랩,4.41,30대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
복합성,1025 독도 토너 200ml,라운드랩,4.41,40대 이상,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
민감성,1025 독도 토너 200ml,라운드랩,4.4,10대,skin/toner,"[{'ingredient_each_purpose': '피부 보습', 'ingredient_each_purpose_cnt': '13'}, {'ingredient_each_purpose': '피부 보호', 'ingredient_each_purpose_cnt': '2'}]","각질제거잘되는(4,018), 피부결좋아지는(3,845), 잘발리는(3,435), 산뜻한(3,435), 따갑지않은(1,730), 뒤집어지지않는(1,367), 매끄러운(1,018)","흘러내리는(2,543), 알러지반응오는(2,056), 가려운(380), 블랙헤드안없어지는(314), 잘굳는(266), 미끌거리는(206), 지속력안좋은(175)"
